scenarioID,scenarioName,scenarioRunDate,periodGroup,runtTimeVersion,Min_Periods,Max_Periods
1,TS03 / (ID:1) R3/m2/M2,20250608,3,202506081933,3,12
2,TS06 / (ID:2) R6/m2/M2,20250608,6,202506081933,3,12
3,TS09 / (ID:3) R9/m2/M2,20250608,9,202506081933,3,12
4,TS12 / (ID:4) R12/m2/M2,20250608,12,202506081933,3,12
5,PG03 / (ID:5) R3/m3/M3,20250608,3,202506081933,3,12
6,PG06 / (ID:6) R6/m3/M6,20250608,6,202506081933,3,12
7,PG09 / (ID:7) R9/m3/M9,20250608,9,202506081933,3,12
8,PG12 / (ID:8) R12/m3/M12,20250608,12,202506081934,3,12
